book_name,book_image,author,page,short_description,programming_language,concept,tool
Raspberry Pi Cookbook for Python Programmers,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b02856_raspberry20pi20cookbook20for20python20programmers.jpg,,402,The Raspberry Pi Cookbook has over 50 tailor-made recipes for programmers to get the most out of Ras...,Python,Single Board Computers,Raspberry Pi
Raspberry Pi Projects for Kids - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/5/1525os_raspberry20pi20for20kids.jpg,By Daniel Bates,146,Leverage the power of programming to use the Raspberry Pi to create awesome games,Python,Single Board Computers,Raspberry Pi
Getting Started with Raspberry Pi Zero,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/i/m/img9465.jpg,By Dr. Richard Grimmett,228,"Get started with the smallest, cheapest, and highest-utility Pi ever—Raspberry Pi Zero",Python,Single Board Computers,Raspberry Pi
Raspberry Pi Blueprints,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/0/4020_raspberry20pi20blueprints_cov.jpg,By Dan Nixon,284,Design and build your own hardware projects that interact with the real world using the Raspberry Pi,Python,Single Board Computers,Raspberry Pi
Raspberry Pi for Secret Agents - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/9/7906os_b03914_mockupcover_normal.jpg,By Stefan Sjogelid,206,Turn your Raspberry Pi into your very own secret agent toolbox with this set of exciting projects,Python,Single Board Computers,Raspberry Pi
Getting Started with Python and Raspberry Pi,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/5/1590os_4628_getting20started20with20python20and20raspberry20pi20redirected20from20learning20python20by20deve.jpg,By Dan Nixon,200,Learn to design and implement reliable Python applications on the Raspberry Pi using a range of exte...,Python,Single Board Computers,Raspberry Pi
Internet of Things with Python,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/3/1381os_5042_internet20of20things20with20python.jpg,By Gaston C. Hillar,388,Interact with the world and rapidly prototype IoT applications using Python,Python,Single Board Computers,Raspberry Pi
Smart Internet of Things Projects,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/6/66518os_5336_internet20of20things20with20arduino20cookbook.jpg,By Agus Kurniawan,258,Discover how to build your own smart Internet of Things projects and bring a new degree of interconn...,Python,Single Board Computers,Raspberry Pi
Learning Raspbian,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/1/2192os_b03436_learning20raspbian.jpg,By William Harrington,154,Get up and running with Raspbian and make the most out of your Raspberry Pi,Python,Single Board Computers,Raspbian
Using Yocto Project with BeagleBone Black,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9736os_yocto20for20beaglebone.jpg,By H M Irfan Sadiq,144,Unleash the power of the BeagleBone Black embedded platform with Yocto Project,Python,Single Board Computers,Ubuntu Server
RStudio for R Statistical Computing Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/0/1034cov__0.jpg,By Andrea Cirillo,246,Over 50 practical and useful recipes to help you perform data analysis with R by unleashing every na...,R,Data Analysis,RStudio
R Data Analysis Projects,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08990_cover.png,By Gopi Subramanian,366,Get valuable insights from your data by building data analysis systems from scratch with R.,R,Data Analysis,RStudio
R Data Analysis Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/0/9065os_r20data20analysis20cookbook.jpg,By Viswa Viswanathan,342,Over 80 recipes to help you breeze through your data analysis projects using R,R,Data Analysis,RStudio
R Data Mining,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b06189_cover.png,By Andrea Cirillo,442,Mine valuable insights from your data using popular tools and techniques in R,R,Data Mining,ggplot
Mastering Social Media Mining with R,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781784396312.png,By Sharan Kumar Ravindran,248,Extract valuable data from your social media sites and make better business decisions using R,R,Data Mining,RStudio
Hands-On Data Science with R,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/1/b10404_mockupcover.png,By Vitor Bianchi Lanzetta,420,Practical examples for professionals using R in Data science,R,Data Science,ggplot
R for Data Science Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/8/0815os_4007_r20cookbook_new.jpg,By Yu-Wei,452,Over 100 hands-on recipes to effectively solve real-world data problems using the most popular R pac...,R,Data Science,ggplot
R Data Science Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/5/6544os_4750_r20data20science20essentials.jpg,By Raja B. Koushik,154,Learn the essence of data science and visualization using R in no time at all,R,Data Science,ggplot
Smarter Decisions - The Intersection of Internet of Things and Decision Science,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/i/m/im4191.jpg,By Jojo Moolayil,392,Enter the world of Internet of Things with the power of data science with this highly practical enga...,R,Data Science,RStudio
R Data Visualization Recipes,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08014_cover.png,By Vitor Bianchi Lanzetta,334,Translate your data into info-graphics using popular packages in R,R,Data Visualization,ggplot
Applied Data Visualization with R and ggplot2,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/1/b12270.png,By Dr. Tania Moulik,140,Develop informative and aesthetic visualizations that enable effective data analysis in less time,R,Data Visualization,ggplot
ggplot2 Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/5/3529os.jpg,By Donato Teutonico,234,Explore the full range of ggplot2 plotting capabilities to create meaningful and spectacular graphs,R,Data Visualization,ggplot
Instant Heat Maps in R How-to,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/6/5644os.jpg,By Sebastian Raschka,72,Learn how to design heat maps in R to enhance your data analysis,R,Data Visualization,ggplot
R Data Visualization Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781783989508.png,By Atmajitsinh Gohil,236,Over 80 recipes to analyze data and create stunning visualizations with R,R,Data Visualization,RStudio
Hands-On Dashboard Development with Shiny,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781789611557-original_50.png,By Chris Beeley,76,Progressively explore UI development with Shiny via practical examples,R,Data Visualization,Shiny
Advanced Deep Learning with R,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781789538779-original_27.jpeg,By Bharatendra Rai,352,"Discover best practices for choosing, building, training, and improving deep learning models using K...",R,Deep Learning,H2O
Deep Learning with R Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781789805673-original.jpeg,By Swarna Gupta,328,Tackle the complex challenges faced while building end-to-end deep learning models using modern R li...,R,Deep Learning,H2O
R Deep Learning Essentials - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/1/b10282_0.png,By Mark Hodnett,378,"Implement neural network models in R 3.5 using TensorFlow, Keras, and MXNet",R,Deep Learning,H2O
R Deep Learning Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/i/m/img0580_0.jpg,By Joshua F. Wiley,170,Build automatic classification and prediction models using unsupervised learning,R,Deep Learning,RStudio
Hands-On Deep Learning with R,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781788996839-original_2.jpg,By Michael Pawlus,330,"A practical guide to designing, building, and improving neural network models using R",R,Deep Learning,TensorFlow
R Deep Learning Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b06155.png,By Dr. PKS Prakash,288,"Powerful, independent recipes to build deep learning models in different application areas using R l...",R,Deep Learning,TensorFlow
R Deep Learning Projects,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08604_cover_0.png,By Yuxi (Hayden) Liu,258,5 real-world projects to help you master deep learning concepts,R,Deep Learning,TensorFlow
Apache Spark Machine Learning Blueprints,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/i/m/im0391cov_.jpg,By Alex Liu,252,Develop a range of cutting-edge machine learning projects with Apache Spark using this actionable gu...,R,Machine Learning,Apache Spark
Machine Learning with R - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/8/5864_cover.png,By Brett Lantz,458,Solve real-world data problems with R and machine learning,R,Machine Learning,RStudio
Machine Learning with R Cookbook - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b06472_cover_0.png,By AshishSingh Bhatia,572,Explore over 110 recipes to analyze data and build predictive models with simple and easy-to-use R c...,R,Machine Learning,RStudio
Practical Machine Learning with R,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781838550134-original.jpeg,By Brindha Priyadarshini Jeyaraman,416,Understand how machine learning works and get hands-on experience in using R to build algorithms tha...,R,Machine Learning,RStudio
Machine Learning with R Quick Start Guide,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781838644338-original_35.png,By Iv√°n Pastor Sanz,250,Learn how to use R to apply powerful machine learning methods and gain insight into real-world appli...,R,Machine Learning,RStudio
R Machine Learning By Example,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/i/m/img0846.jpg,By Raghav Bali,340,Understand the fundamentals of machine learning with R and build your own dynamic algorithms to tack...,R,Machine Learning,RStudio
Building a Recommendation System with R,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b03888_building20a20recommendation20system20with20r_.jpg,By Suresh K. Gorakala,158,Learn the art of building robust and powerful recommendation engines using R,R,Machine Learning,RStudio
Mastering Machine Learning with R,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/5/4527os.jpg,By Cory Lesmeister,400,Master machine learning techniques with R to deliver insights for complex projects,R,Machine Learning,RStudio
Unsupervised Learning with R,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/0/7093os_4861_unsupervised20learning20with20r.jpg,By Erik Rodríguez Pacheco,192,Work with over 40 packages to draw inferences from complex datasets and find hidden patterns in raw ...,R,Machine Learning,RStudio
R Machine Learning Projects,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781789807943-original_38.png,By Dr. Sunil Kumar Chinnamgari,334,"Master a range of machine learning domains with real-world projects using TensorFlow for R, H2O, MXN...",R,Machine Learning,TensorFlow
"R: Recipes for Analysis, Visualization and Machine Learning",www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/5/9598ot_c06323_r20recipes20for20analysis2c20visualization20and20machine20learning.png,By Viswa Viswanathan,976,"Get savvy with R language and actualize projects aimed at analysis, visualization and machine learni...",R,Machine Learning,TensorFlow
Predictive Analytics Using Rattle and Qlik Sense,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/8/5803en_predictive20analytics20using20rattle20and20qlik20sense.jpg,By Ferran Garcia Pagans,242,Create comprehensive solutions for predictive analysis using Rattle and share them with Qlik Sense,R,Predictive Analytics,Qlik Sense
Mastering Predictive Analytics with R,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/2/8/2806os_mastering20predictive20analytics20with.jpg,By Rui Miguel Forte,414,"Master the craft of predictive modeling by developing strategy, intuition, and a solid foundation in...",R,Predictive Analytics,RStudio
Practical Predictive Analytics,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781785886188.png,By Ralph Winters,576,Make sense of your data and predict the unpredictable,R,Predictive Analytics,Splunk
Learning R Programming,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9776_5263_learning20r20programming.png,By Kun Ren,582,Become an efficient data scientist with R,R,Programming Language,RStudio
Free PDF eBook: What you need to know about R,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/w/h/what20you20need20to20know_r_low.jpg,,61,Discover one of the most powerful functional programming languages on the planet with this free eBoo...,R,Programming Language,RStudio
R Statistics Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781789802566-original_62.png,By Francisco Juretig,448,Solve real-world statistical problems using the most popular R packages and techniques,R,Statistics,ggplot
Statistics for Data Science,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b07776_0.png,By James D. Miller,286,Get your statistics basics right before diving into the world of data science,R,Statistics,RStudio
Learning RStudio for R Statistical Computing,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/6/0601os_cov_0.jpg,By Mark P.J. van der Loo,126,"If you need to create and manage complex statistical analysis projects, this book could be a catalys...",R,Statistics,RStudio
Oracle Business Intelligence Enterprise Edition 11g: A Hands-On Tutorial,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/6/5665en.jpg,By Christian Screen,620,Utilizing the full potential of the Oracle Business intelligent Enterprise Edition is in easy reach ...,SQL,Business Intelligence,Oracle Business Intelligence
Oracle Business Intelligence 11g R1 Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/0/6006en.jpg,By Cuneyt Yilmaz,364,Here's an opportunity to learn all the key elements of the OBIEE 11g suite by doing tasks rather tha...,SQL,Business Intelligence,Oracle Business Intelligence
SQL Server 2016 Reporting Services Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/8/1810en_5652_sql20server20201620reporting20services20cookbook.png,By Dinesh Priyankara,596,Create interactive cross-platform reports and dashboards using SQL Server 2016 Reporting Services,SQL,Business Intelligence,SQL Server
Tabular Modeling with SQL Server 2016 Analysis Services Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/6/8611cov_.jpg,By Derek Wilson,372,Expert tabular modeling techniques for building and deploying cutting-edge business analytical repor...,SQL,Business Intelligence,SQL Server
Learning SQL Server Reporting Services 2012,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/9/9922en_cov.jpg,By Jayaram Krishnaswamy,566,"For a newcomer to SQL Reporting Services 2012, things can seem a bit daunting, but this book will ea...",SQL,Business Intelligence,SQL Server
SQL for Data Analytics,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781789807356-original_50.png,By Upom Malik,386,Take your first steps to become a fully qualified data analyst by learning how to explore large rela...,SQL,Data Analysis,PostgreSQL
SQL Server 2017 Machine Learning Services with R,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b06407_cover_0.png,By Tomaž Kaštrun,338,Develop and run efficient R scripts and predictive models for SQL Server 2017,SQL,Data Analysis,SQL Server
Microsoft SQL Server 2012 with Hadoop,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/9/7982en.jpg,By Debarchan Sarkar,96,Getting SQL Server talking to Hadoop is a smooth process when you follow this tutorial. Learn all th...,SQL,Data Analysis,SQL Server
Learning Cloudera Impala,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/2/1275os_rapidmini.jpg,By Avkash Chauhan,150,Everything you need to know about Cloudera Impala is here – from installation onwards. Your raw data...,SQL,Data Processing,Cloudera Impala
Apache Hive Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781783558575.png,By Dayong Du,208,Immerse yourself on a fantastic journey to discover the attributes of big data by using Hive,SQL,Data Processing,Hive
Pentaho Data Integration Cookbook Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/6/0674os_20pentaho20data20integration20cookbook202nd20edition.jpg,By Alex Meadows,462,The premier open source ETL tool is at your command with this recipe-packed cookbook. Learn to use d...,SQL,Data Processing,Pentaho
Professional Azure SQL Database Administration,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/1/b11598_lowres_new.png,By Ahmad Osama,398,Discover how you can migrate a traditional on-premise SQL server database to a cloud-based solution ...,SQL,Database Administration,Azure
Advanced MySQL 8,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781788834445-original_35.png,By Eric Vanier,286,"Design cost-efficient database solutions, scale enterprise operations and reduce overhead business c...",SQL,Database Administration,MySQL
MySQL 8 Administrator's Guide,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08055_cover.png,By Chintan Mehta,510,"Step by step guide to monitor, manage, and secure your database engine",SQL,Database Administration,MySQL
High Availability MySQL Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/9/9942_high20availability20mysql20cookbook.jpg,By Alex Davies,276,There's more than one way to achieve high availability for MySQL and this Cookbook covers a range of...,SQL,Database Administration,MySQL
MySQL Admin Cookbook LITE: Replication and Indexing,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/1/6143os_mysql20admin20cookbook_lite.jpg,By Daniel Schneller,104,"Make your database quicker, more efficient, and better organized with replication and indexing",SQL,Database Administration,MySQL
"MySQL Admin Cookbook LITE: Configuration, Server Monitoring, Managing Users",www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/1/6129os_mysql20admin20cookbook_lite.jpg,By Daniel Schneller,120,,SQL,Database Administration,MySQL
MySQL Management and Administration with Navicat,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/4/7461en_navicat20for20mysql.jpg,By Gökhan Ozar,134,Master the tools you thought you knew and discover the features you never knew existed with this boo...,SQL,Database Administration,MySQL
Advanced Oracle PL/SQL Developer's Guide - Second Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/8/4809en_4511_oracle20advanced20plsql20developer20professional20guide2c20second20edition.jpg,By Saurabh K. Gupta,428,Master the advanced concepts of PL/SQL for professional-level certification and learn the new capabi...,SQL,Database Administration,Oracle Database
Oracle 11g Anti-hacker's Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/2/5269en_oracle20database2011gr220anti-hacker27s20cookbook.jpg,By Adrian Neagu,302,Make your Oracle database virtually impregnable to hackers using the knowledge in this book. With ov...,SQL,Database Administration,Oracle Database
Mastering Oracle Scheduler in Oracle 11g Databases,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/9/5982_mockupcover.jpg,By Ronald Rood,240,"Schedule, manage, and execute jobs in Oracle 11g Databases that automate your business processes usi...",SQL,Database Administration,Oracle Scheduler
"PostgreSQL Administration Cookbook, 9.5/9.6 Edition",www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781785883187.png,By Simon Riggs,556,Over 150 recipes to help you administer your PostgreSQL database more efficiently,SQL,Database Administration,PostgreSQL
PostgreSQL 10 Administration Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781788474924_copy.png,By Simon Riggs,576,"A practical guide to administer, monitor and replicate your PostgreSQL 10 database",SQL,Database Administration,PostgreSQL
PostgreSQL 9 Administration Cookbook: LITE Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/2/6204os_postgresql20administration20cookbook_lite.jpg,By Simon Riggs,104,,SQL,Database Administration,PostgreSQL
PostgreSQL 9.0 High Performance,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/3/0301os_mockupcover_0.jpg,By Gregory Smith,468,"If you’re an intermediate to advanced database administrator, this book is the shortcut to optimizin...",SQL,Database Administration,PostgreSQL
PostgreSQL Administration Essentials,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/8/9/8983os_postgresql20administration20essentials_cover_0.jpg,By Hans-Jürgen Schönig,142,"Discover efficient ways to administer, monitor, replicate, and handle your PostgreSQL databases",SQL,Database Administration,PostgreSQL
Learning Heroku Postgres,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/4/3458en_b01721_learning20heroku20postgres_mini_0.jpg,By Patrick Espake,164,"Efficiently design, implement, and manage a successful PostgreSQL database with Heroku",SQL,Database Administration,PostgreSQL
PostgreSQL Replication,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/7/6723os_postgresql20replication_0.jpg,By Zoltan Böszörmenyi,250,Replication is an advanced subject but this tutorial makes it so simple to assimilate thanks to a ca...,SQL,Database Administration,PostgreSQL
"PostgreSQL 9 Administration Cookbook LITE: Configuration, Monitoring and Maintenance",www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/4/6426os_postgresql20920administration20cookbook_lite_0.jpg,By Simon Riggs,88,,SQL,Database Administration,PostgreSQL
Oracle SQL Developer,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/2/1273_b04512_oracle20sql20developer_.jpg,By Ajith Narayanan,344,"Learn Database design, development,and administration using the feature-rich SQL Developer 4.1 inter...",SQL,Database Administration,SQL Developer
SQL Server 2017 Integration Services Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781786461827_0.png,By Christian Cote,558,Harness the power of SQL Server 2017 Integration Services to build your data integration solutions w...,SQL,Database Administration,SQL Server
SQL Server 2017 Administrator's Guide,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05500.png,By Marek Chmel,434,Implement and administer successful database solution with SQL Server 2017,SQL,Database Administration,SQL Server
SQL Server 2014 with PowerShell v5 Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/3/3/3321en_4525_sql20server20201420with20powershell20v520cookbook.jpg,By Donabel Santos,760,"Over 150 real-world recipes to simplify database management, automate repetitive tasks, and enhance ...",SQL,Database Administration,SQL Server
SQL Server on Linux,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781788291804.png,By Jasmin Azemović,222,Bring the performance and security of SQL Server to Linux,SQL,Database Administration,SQL Server
Reporting with Microsoft SQL Server 2012,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/7/1720en_cover_0.jpg,By James Serra,142,Learn to quickly create reports in SSRS and Power View as well as understand the best use of each re...,SQL,Database Administration,SQL Server
Microsoft SQL Server 2008 High Availability,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/2/1223en_microsoft20sql20server20200820high20availabilitycov.jpg,By Hemantgiri S. Goswami,308,This is the complete guide to keeping your SQL server applications up and running at all times. You’...,SQL,Database Administration,SQL Server
Microsoft SQL Server 2012 Security Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/5/8/5887en_microsoft20sql20server20201220security20cookbook_cov.jpg,By Rudi Bruchez,322,"Over 70 practical, focused recipes to bullet-proof your SQL Server database and protect it from hack...",SQL,Database Administration,SQL Server
Guide to NoSQL with Azure Cosmos DB,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781789612899.png,By Gaston C. Hillar,214,Create scalable applications by taking advantage of NoSQL document databases on the cloud with .NET ...,SQL,Database Programming,Azure Cosmos DB
Microsoft SQL Azure Enterprise Application Development,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/0/8/0806en_microsoft_sql_azure_enterprise_application_development_0.jpg,By Jayaram Krishnaswamy,420,Moving business applications and data to the cloud can be a smooth operation when you use this pract...,SQL,Database Programming,Azure SQL Database
Creating your MySQL Database: Practical Design Tips and Techniques,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/9/1904811302.jpg,By Marc Delisle,108,A short guide for everyone on how to structure your data and set-up your MySQL database tables effic...,SQL,Database Programming,MySQL
Oracle Advanced PL/SQL Developer Professional Guide,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/2/7225en_oracle20advanced20plsql20developer20professional20guide.jpg,By Saurabh K. Gupta,440,Master advanced PL/SQL concepts along with plenty of example questions for 1Z0-146 examination with ...,SQL,Database Programming,Oracle Database
Oracle SQL Developer 2.1,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/6/2/6262_mockupcover.jpg,By Sue Harper,496,"Design and Develop Databases using Oracle SQL Developer and its feature-rich, powerful user-extensib...",SQL,Database Programming,Oracle Database
PostgreSQL 11 Server Side Programming Quick Start Guide,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/1/b11208.png,By Luca Ferrari,260,"Extend PostgreSQL using PostgreSQL server programming to create, test, debug, and optimize a range o...",SQL,Database Programming,PostgreSQL
SQL Server 2017 Developer�s Guide,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b08539_cover.png,By Dejan Sarka,816,Build smarter and efficient database application systems for your organization with  SQL Server 2017,SQL,Database Programming,SQL Server
SQL Server 2016 Developer's Guide,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/b/0/b05694_cover.png,By Dejan Sarka,616,Get the most out of the rich development capabilities of SQL Server 2016 to build efficient database...,SQL,Database Programming,SQL Server
What's New in SQL Server 2012,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/7/3/7348en_what27s20new20in20sql20server202012.jpg,By Rachel Clements,238,Unleash the new features of SQL Server 2012 with this book and ebook.,SQL,Database Programming,SQL Server
MDX with Microsoft SQL Server 2008 R2 Analysis Services Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/1/3/1308en_mdx20with20microsoft20sql20server20analysis20services20200820r220cookbook.jpg,By Tomislav Piasevoli,480,80 recipes for enriching your Business Intelligence solutions with high-performance MDX calculations...,SQL,Database Programming,SQL Server
MariaDB Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/4/3/4399os_mariadb20cookbook_cover.jpg,By Daniel Bartholomew,282,Learn how to use the database that’s growing in popularity as a drop-in replacement for MySQL. The M...,SQL,Databases,MariaDB
Mastering PostgreSQL 13 - Fourth Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781800567498-original_38.png,By Hans-Jürgen Schönig,476,"Explore expert techniques such as advanced indexing and high availability to build scalable, reliabl...",SQL,Databases,PostgreSQL
Learn PostgreSQL 12,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781838985288-original_137.png,By Luca Ferrari,650,"A comprehensive guide to building, managing, and securing scalable and reliable database and data wa...",SQL,Databases,PostgreSQL
PostgreSQL 13 Cookbook,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781838648138-original_101.png,By Vallarapu Naga Avinash Kumar,344,"Get to grips with building reliable, scalable and maintainable database solutions for enterprises an...",SQL,Databases,PostgreSQL
PostgreSQL 12 High Availability Cookbook - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781838984854-original_39.png,By Shaun Thomas,734,"A comprehensive guide to understanding key techniques for architecture and hardware planning, monito...",SQL,Databases,PostgreSQL
Mastering PostgreSQL 12 - Third Edition,www.packtpub.com/media/catalog/product/cache/5d165500a520a389deb95b325792ea25/9/7/9781838988821-original.png,By Hans-Jürgen Schönig,470,"Master the capabilities of PostgreSQL 12 such as advanced indexing, high availability, database conf...",SQL,Databases,PostgreSQL
